PLAY #,ODK,PERSONNEL,BACKFIELD,DN,DIST,HASH,YARD LN,PLAY TYPE,RESULT,GN/LS,OFF FORM,OFF PLAY,OFF STR,PLAY DIR,PLAYER,QTR
161,O,,,1,10,L,31,Run,Rush,8,PRO OPEN,,L,L,,3
163,O,,,2,2,L,23,Run,Rush,20,PRO OPEN,,L,R,,3
165,O,,,1,3,M,3,Run,Rush,-3,WING CLOSED,,R,R,,4
167,O,,,2,6,R,6,Run,"Rush, TD",6,WING CLOSED,,R,L,,4
181,O,,,1,10,L,-29,Run,Rush,2,PRO OPEN SLOT,,L,R,,4
183,O,,,3,2,L,-31,Run,Rush,0,PRO WING OPEN,,L,L,,4
185,O,,,4,2,L,-31,,Timeout,0,,,,,,4
203,O,,,1,10,M,-20,Pass,Complete,7,TRIPS SLOT CLOSED,,L,L,,4
205,O,,,2,3,L,-27,Run,Rush,5,,,L,L,,4
207,O,,,1,10,L,-32,Pass,Incomplete,0,PRO WING OPEN,,L,L,,4
209,O,,,2,10,L,-32,Pass,Sack,-1,DEUCE,,BAL,L,,4
211,O,,,3,11,L,-31,Pass,Complete,11,DEUCE,,BAL,L,,4
213,O,,,1,10,L,-42,Run,Rush,0,TRIPS OPEN,,R,R,,4
215,O,,,2,10,M,-42,Pass,Sack,-6,TRIPS OPEN,,R,L,,4
217,O,,,3,16,M,-36,Pass,Fumble,12,DEUCE,,BAL,L,,4
